14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:24 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:25 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:26 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
14:03:26 [main] DEBUG at.ac.tuwien.dbai.crawler.ThreadFactory - active threads:1
